sim_time,n,p,ratio,method,type,num,estimate
1,100,100,334,forward,wbc,8,12.529221754056804
1,100,100,334,forward,wai,15,12.32045164812733
1,100,100,334,forward,null,56,1.7816324087431064
1,100,100,334,forward,null,29,1.4739813934634711
1,100,100,334,forward,null,41,0
1,100,100,334,lasso,strong,4,19.228372486492923
1,100,100,334,lasso,strong,9,19.1334051104474
1,100,100,334,lasso,strong,1,20.24904168073976
1,100,100,334,lasso,strong,5,19.266764901913323
1,100,100,334,lasso,strong,12,20.798251558486193
1,100,100,334,lasso,strong,11,19.886546465850135
1,100,100,334,lasso,strong,3,17.983578724945342
1,100,100,334,lasso,strong,8,17.837805637031863
1,100,100,334,lasso,strong,10,19.087466517995157
1,100,100,334,lasso,strong,2,18.94215393829104
1,100,100,334,lasso,strong,7,17.745402247260024
1,100,100,334,lasso,strong,6,18.832354826258715
1,100,100,334,lasso,null,53,-1.430641961177142
1,100,100,334,lasso,null,9,0.3941231744837935
1,100,100,334,lasso,null,5,0
1,100,100,334,lasso,wai,10,0.13517157542948646
1,100,100,334,lasso,wai,1,0
1,100,100,334,lasso,wai,3,0.3970470636115908
1,100,100,334,lasso,null,14,0.3703812377754136
1,100,100,334,lasso,null,16,0
1,100,100,334,lasso,null,38,0
1,100,100,334,lasso,null,46,0
1,100,100,334,lasso,wbc,6,0
1,100,100,334,lasso,null,3,0
1,100,100,334,lasso,null,51,0
1,100,100,334,lasso,null,23,0
1,100,100,334,lasso,null,24,0
1,100,100,334,lasso,null,54,0
1,100,100,334,lasso,null,48,0.15677644728381918
1,100,100,334,lasso,wai,14,0
1,100,100,334,lasso,null,49,0
1,100,100,334,lasso,wai,4,0
1,100,100,334,lasso,null,40,0
1,100,100,334,lasso,null,50,0
1,100,100,334,lasso,null,18,0.05728538004491194
1,100,100,334,lasso,null,1,0
1,100,100,334,lasso,null,8,0
1,100,100,334,lasso,wai,2,0
1,100,100,334,lasso,null,22,0
1,100,100,334,lasso,wbc,11,0
1,100,100,334,lasso,null,12,0
1,100,100,334,lasso,wbc,5,0
1,100,100,334,lasso,null,43,0
1,100,100,334,lasso,null,60,0
1,100,100,334,lasso,null,10,0
1,100,100,334,lasso,wbc,7,0
1,100,100,334,lasso,null,45,0
1,100,100,334,lasso,wai,11,0.3079138443866441
1,100,100,334,lasso,null,2,0
1,100,100,334,lasso,null,11,0
1,100,100,334,lasso,null,57,0
1,100,100,334,lasso,wbc,12,0
1,100,100,334,lasso,wbc,10,0
1,100,100,334,lasso,wbc,1,0
1,100,100,334,lasso,null,27,0
1,100,100,334,lasso,null,25,0.4960424795423015
1,100,100,334,lasso,null,47,0
