sim_time,n,p,ratio,method,type,num,estimate
1,100,100,145,lasso,wai,16,0
1,100,100,145,lasso,null,44,0
1,100,100,145,lasso,wbc,8,0
1,100,100,145,lasso,wai,3,0
1,100,100,145,lasso,null,48,0
1,100,100,145,lasso,wbc,10,0
1,100,100,145,lasso,null,14,0
1,100,100,145,lasso,wai,7,0
1,100,100,145,lasso,null,17,0
1,100,100,145,lasso,wai,18,0
1,100,100,145,lasso,null,6,0
1,100,100,145,lasso,null,49,0
1,100,100,145,lasso,wai,2,0
1,100,100,145,lasso,wai,11,0
1,100,100,145,lasso,wai,12,0
1,100,100,145,lasso,null,24,0
1,100,100,145,lasso,null,23,0
1,100,100,145,lasso,null,54,0
1,100,100,145,lasso,null,25,0
1,100,100,145,lasso,null,9,0
1,100,100,145,lasso,null,34,0
1,100,100,145,lasso,wai,4,0
1,100,100,145,lasso,null,51,0
1,100,100,145,lasso,wai,15,0
1,100,100,145,lasso,null,21,0
1,100,100,145,lasso,null,18,0
1,100,100,145,lasso,null,43,0
1,100,100,145,lasso,null,58,0
1,100,100,145,lasso,wai,13,0
1,100,100,145,lasso,null,60,0
1,100,100,145,lasso,null,2,0
1,100,100,145,lasso,wbc,16,0
1,100,100,145,lasso,null,39,0
1,100,100,145,lasso,wai,9,0
1,100,100,145,lasso,null,29,0
1,100,100,145,lasso,wai,6,0
1,100,100,145,lasso,wbc,6,0
1,100,100,145,lasso,wbc,14,0
1,100,100,145,lasso,null,16,0
1,100,100,145,lasso,null,52,0
1,100,100,145,lasso,null,53,0
1,100,100,145,lasso,wbc,4,0
1,100,100,145,lasso,null,11,0
1,100,100,145,lasso,null,30,0
1,100,100,145,lasso,null,35,0
1,100,100,145,lasso,wbc,1,0
1,100,100,145,lasso,wbc,2,0
1,100,100,145,lasso,wbc,5,0
1,100,100,145,lasso,wbc,7,0
1,100,100,145,lasso,wbc,11,0
1,100,100,145,lasso,wbc,12,0
1,100,100,145,lasso,wai,5,0
1,100,100,145,lasso,wai,8,0
1,100,100,145,lasso,wai,10,0
1,100,100,145,lasso,wai,14,0
1,100,100,145,lasso,wai,20,0
1,100,100,145,lasso,null,1,0
1,100,100,145,lasso,null,3,0
1,100,100,145,lasso,null,4,0
1,100,100,145,lasso,null,7,0
1,100,100,145,lasso,null,13,0
1,100,100,145,lasso,null,15,0
1,100,100,145,lasso,null,20,0
1,100,100,145,lasso,null,22,0
1,100,100,145,lasso,null,27,0
1,100,100,145,lasso,null,28,0
1,100,100,145,lasso,null,31,0
1,100,100,145,lasso,null,36,0
1,100,100,145,lasso,null,38,0
1,100,100,145,lasso,null,50,0
1,100,100,145,lasso,null,55,0
1,100,100,145,lasso,null,56,0
1,100,100,145,lasso,null,57,0
1,100,100,145,lasso,null,59,0
2,100,100,145,forward,strong,3,22.86134385469077
2,100,100,145,forward,strong,1,26.490021656673104
2,100,100,145,forward,strong,2,25.50233633242891
2,100,100,145,forward,strong,4,17.908538918138287
2,100,100,145,forward,null,32,1.7658308122850823
2,100,100,145,forward,wai,13,5.34252321976926
2,100,100,145,forward,wai,6,8.311205806656318
2,100,100,145,forward,wai,14,-1.2856104463577593
2,100,100,145,forward,null,3,-7.361004060034811
2,100,100,145,forward,null,59,-6.351584630841242
2,100,100,145,forward,null,58,12.265716814114437
2,100,100,145,forward,null,19,-0.4907238170095186
2,100,100,145,forward,null,51,-4.606793898497328
2,100,100,145,forward,wbc,2,6.924132176678722
2,100,100,145,forward,null,18,-2.698302956893516
2,100,100,145,forward,null,41,-8.874326633373977
2,100,100,145,forward,wbc,5,13.28127939262259
2,100,100,145,forward,wbc,4,-6.692890821278001
2,100,100,145,forward,null,26,-1.1928432662113222
2,100,100,145,forward,null,45,-1.492569252341916
2,100,100,145,forward,wai,9,0.08549976624077595
2,100,100,145,forward,null,37,-5.912434292878947
2,100,100,145,forward,null,14,5.076642430152382
2,100,100,145,forward,null,53,1.66673010391313
2,100,100,145,forward,wai,8,7.315060205909635
2,100,100,145,forward,null,34,-6.538746404804181
2,100,100,145,forward,wbc,13,0.4656248473974414
2,100,100,145,forward,null,55,9.54371570514785
2,100,100,145,forward,wbc,11,-1.4904878747477839
2,100,100,145,forward,wai,19,3.0244378067027826
2,100,100,145,forward,null,28,6.67944298672559
2,100,100,145,forward,null,27,5.4232962139209615
2,100,100,145,forward,null,49,2.3310195683694994
2,100,100,145,forward,null,52,-14.176747701281839
2,100,100,145,forward,wai,11,-7.078454406426541
2,100,100,145,forward,null,9,1.0651078870558905
2,100,100,145,forward,wbc,8,2.4577505171918266
2,100,100,145,forward,null,31,5.876329187724125
2,100,100,145,forward,wai,15,5.490577068100699
2,100,100,145,forward,null,60,5.448738101400197
2,100,100,145,forward,null,21,-5.302481947294912
2,100,100,145,forward,null,13,-2.1455780564190494
2,100,100,145,forward,null,36,0.03751752922265812
2,100,100,145,forward,wai,3,-4.724491589507919
2,100,100,145,forward,wai,16,8.97309532656558
2,100,100,145,forward,null,8,4.0387405494886615
2,100,100,145,forward,wbc,15,-8.161728389871845
2,100,100,145,forward,null,4,1.3340829486051793
2,100,100,145,forward,wai,18,0.6133336803084064
2,100,100,145,forward,wbc,12,-7.712495643018046
2,100,100,145,forward,null,5,-0.6183533964975229
2,100,100,145,forward,null,48,3.080082378462864
2,100,100,145,forward,null,30,0.8766339624872969
2,100,100,145,forward,null,47,-3.158598258146237
2,100,100,145,forward,null,46,4.637287675644958
2,100,100,145,forward,wai,20,1.4918276348948774
2,100,100,145,forward,null,2,6.807606857824976
2,100,100,145,forward,wai,2,1.2378322170980365
2,100,100,145,forward,wbc,9,-4.974924598905314
2,100,100,145,forward,wbc,7,0.10833397685807875
2,100,100,145,forward,wai,5,2.765205509252474
